线路,方向,起点,终点,客流量
10路,上行,拔茅站,翡翠山,1.0
10路,上行,拔茅站,实验幼儿园,1.1
10路,上行,拔茅站,电力调度中心,0.8
10路,上行,拔茅站,中医院（南）,3.1
10路,上行,拔茅站,和悦广场,1.0
10路,上行,拔茅站,七星大桥（南）,1.0
10路,上行,拔茅站,三花股份,0.9
10路,上行,拔茅站,西郊中学,1.0
10路,上行,拔茅站,协和医院（消防大队）,0.9
10路,上行,拔茅站,上礼泉农贸市场,1.2
10路,上行,拔茅站,城关加油站、热电路口,3.5
10路,上行,拔茅站,五马公园,0.7
10路,上行,拔茅站,新昌大桥,0.7
10路,上行,拔茅站,马大王美女山,1.0
10路,上行,拔茅站,城东大桥,0.8
10路,上行,拔茅站,客运东站,1.6
10路,上行,拔茅站,拔茅中学,2.4
10路,上行,拔茅站,拔茅商场,3.2
10路,上行,翡翠山,卫计局,0.9
10路,上行,翡翠山,实验幼儿园,2.1
10路,上行,翡翠山,张家庄（北）,0.8
10路,上行,翡翠山,电力调度中心,1.5
10路,上行,翡翠山,中医院（南）,6.2
10路,上行,翡翠山,和悦广场,1.9
10路,上行,翡翠山,七星大桥（南）,1.9
10路,上行,翡翠山,三花股份,1.8
10路,上行,翡翠山,西郊中学,2.1
10路,上行,翡翠山,协和医院（消防大队）,1.8
10路,上行,翡翠山,上礼泉农贸市场,2.4
10路,上行,翡翠山,城关加油站、热电路口,7.0
10路,上行,翡翠山,五马公园,1.3
10路,上行,翡翠山,新昌大桥,1.4
10路,上行,翡翠山,马大王美女山,2.0
10路,上行,翡翠山,章家山脚,0.9
10路,上行,翡翠山,章家山,0.6
10路,上行,翡翠山,毛纺织有限公司,0.9
10路,上行,翡翠山,城东大桥,1.6
10路,上行,翡翠山,中财公司,0.7
10路,上行,翡翠山,客运东站,3.3
10路,上行,翡翠山,拔茅中学,4.8
10路,上行,翡翠山,拔茅商场,6.4
10路,上行,翡翠山,新颖建材,0.6
10路,上行,卫计局,实验幼儿园,1.0
10路,上行,卫计局,电力调度中心,0.7
10路,上行,卫计局,中医院（南）,2.8
10路,上行,卫计局,和悦广场,0.9
10路,上行,卫计局,七星大桥（南）,0.9
10路,上行,卫计局,三花股份,0.8
10路,上行,卫计局,西郊中学,0.9
10路,上行,卫计局,协和医院（消防大队）,0.8
10路,上行,卫计局,上礼泉农贸市场,1.1
10路,上行,卫计局,城关加油站、热电路口,3.2
10路,上行,卫计局,五马公园,0.6
10路,上行,卫计局,新昌大桥,0.6
10路,上行,卫计局,马大王美女山,0.9
10路,上行,卫计局,城东大桥,0.7
10路,上行,卫计局,客运东站,1.5
10路,上行,卫计局,拔茅中学,2.2
10路,上行,卫计局,拔茅商场,2.9
10路,上行,实验幼儿园,张家庄（北）,0.8
10路,上行,实验幼儿园,电力调度中心,1.7
10路,上行,实验幼儿园,中医院（南）,6.7
10路,上行,实验幼儿园,和悦广场,2.1
10路,上行,实验幼儿园,七星大桥（南）,2.1
10路,上行,实验幼儿园,三花股份,2.0
10路,上行,实验幼儿园,西郊中学,2.2
10路,上行,实验幼儿园,协和医院（消防大队）,2.0
10路,上行,实验幼儿园,上礼泉农贸市场,2.5
10路,上行,实验幼儿园,城关加油站、热电路口,7.5
10路,上行,实验幼儿园,五马公园,1.4
10路,上行,实验幼儿园,新昌大桥,1.5
10路,上行,实验幼儿园,马大王美女山,2.2
10路,上行,实验幼儿园,章家山脚,1.0
10路,上行,实验幼儿园,章家山,0.7
10路,上行,实验幼儿园,毛纺织有限公司,1.0
10路,上行,实验幼儿园,城东大桥,1.7
10路,上行,实验幼儿园,中财公司,0.7
10路,上行,实验幼儿园,客运东站,3.5
10路,上行,实验幼儿园,拔茅中学,5.1
10路,上行,实验幼儿园,拔茅商场,6.9
10路,上行,实验幼儿园,新颖建材,0.7
10路,上行,张家庄（北）,电力调度中心,0.6
10路,上行,张家庄（北）,中医院（南）,2.4
10路,上行,张家庄（北）,和悦广场,0.8
10路,上行,张家庄（北）,七星大桥（南）,0.8
10路,上行,张家庄（北）,三花股份,0.7
10路,上行,张家庄（北）,西郊中学,0.8
10路,上行,张家庄（北）,协和医院（消防大队）,0.7
10路,上行,张家庄（北）,上礼泉农贸市场,0.9
10路,上行,张家庄（北）,城关加油站、热电路口,2.7
10路,上行,张家庄（北）,五马公园,0.5
10路,上行,张家庄（北）,新昌大桥,0.5
10路,上行,张家庄（北）,马大王美女山,0.8
10路,上行,张家庄（北）,城东大桥,0.6
10路,上行,张家庄（北）,客运东站,1.3
10路,上行,张家庄（北）,拔茅中学,1.8
10路,上行,张家庄（北）,拔茅商场,2.5
10路,上行,电力调度中心,中医院（南）,5.1
10路,上行,电力调度中心,和悦广场,1.6
10路,上行,电力调度中心,七星大桥（南）,1.6
10路,上行,电力调度中心,三花股份,1.5
10路,上行,电力调度中心,西郊中学,1.7
10路,上行,电力调度中心,协和医院（消防大队）,1.5
10路,上行,电力调度中心,上礼泉农贸市场,1.9
10路,上行,电力调度中心,城关加油站、热电路口,5.7
10路,上行,电力调度中心,五马公园,1.1
10路,上行,电力调度中心,新昌大桥,1.1
10路,上行,电力调度中心,马大王美女山,1.6
10路,上行,电力调度中心,章家山脚,0.8
10路,上行,电力调度中心,毛纺织有限公司,0.8
10路,上行,电力调度中心,城东大桥,1.3
10路,上行,电力调度中心,中财公司,0.6
10路,上行,电力调度中心,客运东站,2.7
10路,上行,电力调度中心,拔茅中学,3.9
10路,上行,电力调度中心,拔茅商场,5.2
10路,上行,电力调度中心,新颖建材,0.5
10路,上行,中医院（南）,和悦广场,7.2
10路,上行,中医院（南）,七星大桥（南）,7.2
10路,上行,中医院（南）,三花公寓,1.5
10路,上行,中医院（南）,三花集团,1.6
10路,上行,中医院（南）,三花股份,6.8
10路,上行,中医院（南）,西郊中学,7.7
10路,上行,中医院（南）,协和医院（消防大队）,6.8
10路,上行,中医院（南）,上礼泉农贸市场,8.8
10路,上行,中医院（南）,城关加油站、热电路口,26.2
10路,上行,中医院（南）,五马公园,4.9
10路,上行,中医院（南）,新昌大桥,5.2
10路,上行,中医院（南）,马大王美女山,7.5
10路,上行,中医院（南）,章家山脚,3.5
10路,上行,中医院（南）,章家山,2.3
10路,上行,中医院（南）,毛纺织有限公司,3.5
10路,上行,中医院（南）,城东大桥,6.0
10路,上行,中医院（南）,华佳热电,0.8
10路,上行,中医院（南）,中财公司,2.5
10路,上行,中医院（南）,客运东站,12.2
10路,上行,中医院（南）,白段,1.1
10路,上行,中医院（南）,泉清村,0.5
10路,上行,中医院（南）,嘉盛毛纺,0.5
10路,上行,中医院（南）,天仁医药,1.3
10路,上行,中医院（南）,康平胶囊,1.1
10路,上行,中医院（南）,新岩村,0.8
10路,上行,中医院（南）,拔茅加油站,0.7
10路,上行,中医院（南）,拔茅中学,17.8
10路,上行,中医院（南）,拔茅商场,23.9
10路,上行,中医院（南）,新颖建材,2.4
10路,上行,和悦广场,七星大桥（南）,2.3
10路,上行,和悦广场,三花集团,0.5
10路,上行,和悦广场,三花股份,2.2
10路,上行,和悦广场,西郊中学,2.5
10路,上行,和悦广场,协和医院（消防大队）,2.2
10路,上行,和悦广场,上礼泉农贸市场,2.9
10路,上行,和悦广场,城关加油站、热电路口,8.5
10路,上行,和悦广场,五马公园,1.6
10路,上行,和悦广场,新昌大桥,1.7
10路,上行,和悦广场,马大王美女山,2.4
10路,上行,和悦广场,章家山脚,1.1
10路,上行,和悦广场,章家山,0.7
10路,上行,和悦广场,毛纺织有限公司,1.1
10路,上行,和悦广场,城东大桥,2.0
10路,上行,和悦广场,中财公司,0.8
10路,上行,和悦广场,客运东站,4.0
10路,上行,和悦广场,拔茅中学,5.8
10路,上行,和悦广场,拔茅商场,7.8
10路,上行,和悦广场,新颖建材,0.8
10路,上行,七星大桥（南）,三花公寓,0.5
10路,上行,七星大桥（南）,三花集团,0.5
10路,上行,七星大桥（南）,三花股份,2.3
10路,上行,七星大桥（南）,西郊中学,2.6
10路,上行,七星大桥（南）,协和医院（消防大队）,2.3
10路,上行,七星大桥（南）,上礼泉农贸市场,3.0
10路,上行,七星大桥（南）,城关加油站、热电路口,8.9
10路,上行,七星大桥（南）,五马公园,1.7
10路,上行,七星大桥（南）,新昌大桥,1.8
10路,上行,七星大桥（南）,马大王美女山,2.5
10路,上行,七星大桥（南）,章家山脚,1.2
10路,上行,七星大桥（南）,章家山,0.8
10路,上行,七星大桥（南）,毛纺织有限公司,1.2
10路,上行,七星大桥（南）,城东大桥,2.0
10路,上行,七星大桥（南）,中财公司,0.9
10路,上行,七星大桥（南）,客运东站,4.1
10路,上行,七星大桥（南）,拔茅中学,6.1
10路,上行,七星大桥（南）,拔茅商场,8.1
10路,上行,七星大桥（南）,新颖建材,0.8
10路,上行,三花公寓,西郊中学,0.5
10路,上行,三花公寓,上礼泉农贸市场,0.6
10路,上行,三花公寓,城关加油站、热电路口,1.8
10路,上行,三花公寓,马大王美女山,0.5
10路,上行,三花公寓,客运东站,0.9
10路,上行,三花公寓,拔茅中学,1.2
10路,上行,三花公寓,拔茅商场,1.7
10路,上行,三花集团,三花股份,0.5
10路,上行,三花集团,西郊中学,0.6
10路,上行,三花集团,协和医院（消防大队）,0.5
10路,上行,三花集团,上礼泉农贸市场,0.7
10路,上行,三花集团,城关加油站、热电路口,2.0
10路,上行,三花集团,马大王美女山,0.6
10路,上行,三花集团,客运东站,0.9
10路,上行,三花集团,拔茅中学,1.4
10路,上行,三花集团,拔茅商场,1.8
10路,上行,三花股份,西郊中学,2.7
10路,上行,三花股份,协和医院（消防大队）,2.3
10路,上行,三花股份,上礼泉农贸市场,3.0
10路,上行,三花股份,城关加油站、热电路口,9.0
10路,上行,三花股份,五马公园,1.7
10路,上行,三花股份,新昌大桥,1.8
10路,上行,三花股份,马大王美女山,2.6
10路,上行,三花股份,章家山脚,1.2
10路,上行,三花股份,章家山,0.8
10路,上行,三花股份,毛纺织有限公司,1.2
10路,上行,三花股份,城东大桥,2.1
10路,上行,三花股份,中财公司,0.9
10路,上行,三花股份,客运东站,4.2
10路,上行,三花股份,拔茅中学,6.1
10路,上行,三花股份,拔茅商场,8.2
10路,上行,三花股份,新颖建材,0.8
10路,上行,西郊中学,协和医院（消防大队）,2.8
10路,上行,西郊中学,上礼泉农贸市场,3.6
10路,上行,西郊中学,城关加油站、热电路口,10.8
10路,上行,西郊中学,五马公园,2.0
10路,上行,西郊中学,新昌大桥,2.1
10路,上行,西郊中学,马大王美女山,3.1
10路,上行,西郊中学,章家山脚,1.4
10路,上行,西郊中学,章家山,0.9
10路,上行,西郊中学,毛纺织有限公司,1.4
10路,上行,西郊中学,城东大桥,2.5
10路,上行,西郊中学,中财公司,1.0
10路,上行,西郊中学,客运东站,5.0
10路,上行,西郊中学,天仁医药,0.5
10路,上行,西郊中学,拔茅中学,7.3
10路,上行,西郊中学,拔茅商场,9.8
10路,上行,西郊中学,新颖建材,1.0
10路,上行,协和医院（消防大队）,上礼泉农贸市场,3.4
10路,上行,协和医院（消防大队）,城关加油站、热电路口,10.0
10路,上行,协和医院（消防大队）,五马公园,1.9
10路,上行,协和医院（消防大队）,新昌大桥,2.0
10路,上行,协和医院（消防大队）,马大王美女山,2.8
10路,上行,协和医院（消防大队）,章家山脚,1.3
10路,上行,协和医院（消防大队）,章家山,0.9
10路,上行,协和医院（消防大队）,毛纺织有限公司,1.3
10路,上行,协和医院（消防大队）,城东大桥,2.3
10路,上行,协和医院（消防大队）,中财公司,1.0
10路,上行,协和医院（消防大队）,客运东站,4.6
10路,上行,协和医院（消防大队）,天仁医药,0.5
10路,上行,协和医院（消防大队）,拔茅中学,6.8
10路,上行,协和医院（消防大队）,拔茅商场,9.1
10路,上行,协和医院（消防大队）,新颖建材,0.9
10路,上行,上礼泉农贸市场,城关加油站、热电路口,13.8
10路,上行,上礼泉农贸市场,五马公园,2.6
10路,上行,上礼泉农贸市场,新昌大桥,2.7
10路,上行,上礼泉农贸市场,马大王美女山,3.9
10路,上行,上礼泉农贸市场,章家山脚,1.8
10路,上行,上礼泉农贸市场,章家山,1.2
10路,上行,上礼泉农贸市场,毛纺织有限公司,1.8
10路,上行,上礼泉农贸市场,城东大桥,3.2
10路,上行,上礼泉农贸市场,中财公司,1.3
10路,上行,上礼泉农贸市场,客运东站,6.4
10路,上行,上礼泉农贸市场,白段,0.6
10路,上行,上礼泉农贸市场,天仁医药,0.7
10路,上行,上礼泉农贸市场,康平胶囊,0.6
10路,上行,上礼泉农贸市场,拔茅中学,9.4
10路,上行,上礼泉农贸市场,拔茅商场,12.6
10路,上行,上礼泉农贸市场,新颖建材,1.3
10路,上行,城关加油站、热电路口,五马公园,9.8
10路,上行,城关加油站、热电路口,新昌大桥,10.3
10路,上行,城关加油站、热电路口,马大王美女山,14.8
10路,上行,城关加油站、热电路口,章家山脚,6.9
10路,上行,城关加油站、热电路口,章家山,4.5
10路,上行,城关加油站、热电路口,毛纺织有限公司,6.9
10路,上行,城关加油站、热电路口,城东大桥,11.9
10路,上行,城关加油站、热电路口,华佳热电,1.6
10路,上行,城关加油站、热电路口,中财公司,5.0
10路,上行,城关加油站、热电路口,客运东站,24.1
10路,上行,城关加油站、热电路口,白段,2.1
10路,上行,城关加油站、热电路口,泉清村,1.1
10路,上行,城关加油站、热电路口,嘉盛毛纺,1.1
10路,上行,城关加油站、热电路口,京新药业,0.5
10路,上行,城关加油站、热电路口,天仁医药,2.6
10路,上行,城关加油站、热电路口,康平胶囊,2.1
10路,上行,城关加油站、热电路口,新岩村,1.6
10路,上行,城关加油站、热电路口,拔茅加油站,1.3
10路,上行,城关加油站、热电路口,拔茅中学,35.2
10路,上行,城关加油站、热电路口,拔茅商场,47.3
10路,上行,城关加油站、热电路口,客运中心,0.5
10路,上行,城关加油站、热电路口,新颖建材,4.8
10路,上行,五马公园,新昌大桥,2.0
10路,上行,五马公园,马大王美女山,2.9
10路,上行,五马公园,章家山脚,1.4
10路,上行,五马公园,章家山,0.9
10路,上行,五马公园,毛纺织有限公司,1.4
10路,上行,五马公园,城东大桥,2.4
10路,上行,五马公园,中财公司,1.0
10路,上行,五马公园,客运东站,4.8
10路,上行,五马公园,天仁医药,0.5
10路,上行,五马公园,拔茅中学,7.0
10路,上行,五马公园,拔茅商场,9.4
10路,上行,五马公园,新颖建材,0.9
10路,上行,新昌大桥,马大王美女山,3.3
10路,上行,新昌大桥,章家山脚,1.5
10路,上行,新昌大桥,章家山,1.0
10路,上行,新昌大桥,毛纺织有限公司,1.5
10路,上行,新昌大桥,城东大桥,2.6
10路,上行,新昌大桥,中财公司,1.1
10路,上行,新昌大桥,客运东站,5.3
10路,上行,新昌大桥,天仁医药,0.6
10路,上行,新昌大桥,拔茅中学,7.8
10路,上行,新昌大桥,拔茅商场,10.5
10路,上行,新昌大桥,新颖建材,1.1
10路,上行,马大王美女山,章家山脚,2.4
10路,上行,马大王美女山,章家山,1.6
10路,上行,马大王美女山,毛纺织有限公司,2.4
10路,上行,马大王美女山,城东大桥,4.1
10路,上行,马大王美女山,华佳热电,0.6
10路,上行,马大王美女山,中财公司,1.7
10路,上行,马大王美女山,客运东站,8.4
10路,上行,马大王美女山,白段,0.7
10路,上行,马大王美女山,天仁医药,0.9
10路,上行,马大王美女山,康平胶囊,0.7
10路,上行,马大王美女山,新岩村,0.6
10路,上行,马大王美女山,拔茅中学,12.2
10路,上行,马大王美女山,拔茅商场,16.5
10路,上行,马大王美女山,新颖建材,1.7
10路,上行,章家山脚,章家山,0.8
10路,上行,章家山脚,毛纺织有限公司,1.2
10路,上行,章家山脚,城东大桥,2.0
10路,上行,章家山脚,中财公司,0.8
10路,上行,章家山脚,客运东站,4.1
10路,上行,章家山脚,拔茅中学,5.9
10路,上行,章家山脚,拔茅商场,8.0
10路,上行,章家山脚,新颖建材,0.8
10路,上行,章家山,毛纺织有限公司,0.8
10路,上行,章家山,城东大桥,1.4
10路,上行,章家山,中财公司,0.6
10路,上行,章家山,客运东站,2.7
10路,上行,章家山,拔茅中学,4.0
10路,上行,章家山,拔茅商场,5.4
10路,上行,章家山,新颖建材,0.5
10路,上行,毛纺织有限公司,城东大桥,2.2
10路,上行,毛纺织有限公司,中财公司,0.9
10路,上行,毛纺织有限公司,客运东站,4.4
10路,上行,毛纺织有限公司,拔茅中学,6.4
10路,上行,毛纺织有限公司,拔茅商场,8.6
10路,上行,毛纺织有限公司,新颖建材,0.9
10路,上行,城东大桥,华佳热电,0.5
10路,上行,城东大桥,中财公司,1.7
10路,上行,城东大桥,客运东站,8.3
10路,上行,城东大桥,白段,0.7
10路,上行,城东大桥,天仁医药,0.9
10路,上行,城东大桥,康平胶囊,0.7
10路,上行,城东大桥,新岩村,0.5
10路,上行,城东大桥,拔茅中学,12.1
10路,上行,城东大桥,拔茅商场,16.3
10路,上行,城东大桥,新颖建材,1.6
10路,上行,华佳热电,客运东站,1.1
10路,上行,华佳热电,拔茅中学,1.6
10路,上行,华佳热电,拔茅商场,2.2
10路,上行,中财公司,客运东站,3.7
10路,上行,中财公司,拔茅中学,5.4
10路,上行,中财公司,拔茅商场,7.2
10路,上行,中财公司,新颖建材,0.7
10路,上行,客运东站,白段,1.9
10路,上行,客运东站,泉清村,1.0
10路,上行,客运东站,嘉盛毛纺,1.0
10路,上行,客运东站,天仁医药,2.4
10路,上行,客运东站,康平胶囊,1.9
10路,上行,客运东站,新岩村,1.4
10路,上行,客运东站,拔茅加油站,1.2
10路,上行,客运东站,拔茅中学,31.9
10路,上行,客运东站,拔茅商场,43.0
10路,上行,客运东站,新颖建材,4.3
10路,上行,白段,拔茅中学,2.9
10路,上行,白段,拔茅商场,3.9
10路,上行,泉清村,拔茅中学,1.4
10路,上行,泉清村,拔茅商场,2.0
10路,上行,嘉盛毛纺,拔茅中学,1.5
10路,上行,嘉盛毛纺,拔茅商场,2.0
10路,上行,京新药业,拔茅中学,0.7
10路,上行,京新药业,拔茅商场,1.0
10路,上行,天仁医药,拔茅中学,3.8
10路,上行,天仁医药,拔茅商场,5.1
10路,上行,天仁医药,新颖建材,0.5
10路,上行,康平胶囊,拔茅中学,3.1
10路,上行,康平胶囊,拔茅商场,4.2
10路,上行,新岩村,拔茅中学,2.4
10路,上行,新岩村,拔茅商场,3.2
10路,上行,拔茅加油站,拔茅中学,2.0
10路,上行,拔茅加油站,拔茅商场,2.7
10路,上行,拔茅中学,拔茅商场,119.6
10路,上行,拔茅中学,客运中心,1.3
10路,上行,拔茅中学,新颖建材,12.0
10路,上行,拔茅商场,客运中心,17.9
10路,上行,拔茅商场,新颖建材,161.1
10路,上行,客运中心,新颖建材,2.0
10路,下行,拔茅加油站,新岩村,1.1
10路,下行,拔茅加油站,康平胶囊,0.8
10路,下行,拔茅加油站,林泉（金涛）轴承,1.1
10路,下行,拔茅加油站,京新药业,0.5
10路,下行,拔茅加油站,泉清村,0.6
10路,下行,拔茅加油站,客运东站,0.5
10路,下行,拔茅加油站,中财公司,0.7
10路,下行,拔茅加油站,拔茅站,9.2
10路,下行,拔茅加油站,上礼泉农贸市场,1.2
10路,下行,拔茅加油站,协和医院（消防大队）,0.8
10路,下行,拔茅加油站,三花股份,1.0
10路,下行,拔茅加油站,城东大桥,0.5
10路,下行,拔茅加油站,马大王美女山,1.1
10路,下行,拔茅加油站,城关加油站、兔毛市场,0.9
10路,下行,拔茅加油站,上礼泉,5.3
10路,下行,新岩村,康平胶囊,1.3
10路,下行,新岩村,林泉（金涛）轴承,1.8
10路,下行,新岩村,京新药业,0.9
10路,下行,新岩村,嘉盛毛纺,0.8
10路,下行,新岩村,泉清村,1.0
10路,下行,新岩村,客运东站,0.9
10路,下行,新岩村,中财公司,1.2
10路,下行,新岩村,华佳热电,0.5
10路,下行,新岩村,拔茅站,15.5
10路,下行,新岩村,上礼泉农贸市场,2.0
10路,下行,新岩村,协和医院（消防大队）,1.3
10路,下行,新岩村,三花股份,1.6
10路,下行,新岩村,中医院（南）,0.7
10路,下行,新岩村,翡翠山,0.6
10路,下行,新岩村,城东大桥,0.9
10路,下行,新岩村,毛纺织有限公司,0.8
10路,下行,新岩村,章家山,0.5
10路,下行,新岩村,马大王美女山,1.9
10路,下行,新岩村,五马公园,0.6
10路,下行,新岩村,城关加油站、兔毛市场,1.5
10路,下行,新岩村,上礼泉,8.9
10路,下行,康平胶囊,林泉（金涛）轴承,1.3
10路,下行,康平胶囊,京新药业,0.6
10路,下行,康平胶囊,嘉盛毛纺,0.6
10路,下行,康平胶囊,泉清村,0.7
10路,下行,康平胶囊,客运东站,0.6
10路,下行,康平胶囊,中财公司,0.8
10路,下行,康平胶囊,拔茅站,11.2
10路,下行,康平胶囊,上礼泉农贸市场,1.5
10路,下行,康平胶囊,协和医院（消防大队）,0.9
10路,下行,康平胶囊,三花股份,1.2
10路,下行,康平胶囊,城东大桥,0.6
10路,下行,康平胶囊,毛纺织有限公司,0.6
10路,下行,康平胶囊,马大王美女山,1.4
10路,下行,康平胶囊,城关加油站、兔毛市场,1.1
10路,下行,康平胶囊,上礼泉,6.4
10路,下行,林泉（金涛）轴承,京新药业,1.0
10路,下行,林泉（金涛）轴承,嘉盛毛纺,0.8
10路,下行,林泉（金涛）轴承,泉清村,1.1
10路,下行,林泉（金涛）轴承,客运东站,0.9
10路,下行,林泉（金涛）轴承,中财公司,1.2
10路,下行,林泉（金涛）轴承,华佳热电,0.5
10路,下行,林泉（金涛）轴承,拔茅站,16.6
10路,下行,林泉（金涛）轴承,上礼泉农贸市场,2.2
10路,下行,林泉（金涛）轴承,协和医院（消防大队）,1.4
10路,下行,林泉（金涛）轴承,三花股份,1.7
10路,下行,林泉（金涛）轴承,中医院（南）,0.7
10路,下行,林泉（金涛）轴承,翡翠山,0.6
10路,下行,林泉（金涛）轴承,城东大桥,1.0
10路,下行,林泉（金涛）轴承,毛纺织有限公司,0.8
10路,下行,林泉（金涛）轴承,章家山,0.6
10路,下行,林泉（金涛）轴承,马大王美女山,2.1
10路,下行,林泉（金涛）轴承,五马公园,0.6
10路,下行,林泉（金涛）轴承,城关加油站、兔毛市场,1.6
10路,下行,林泉（金涛）轴承,上礼泉,9.6
10路,下行,京新药业,泉清村,0.5
10路,下行,京新药业,中财公司,0.6
10路,下行,京新药业,拔茅站,8.3
10路,下行,京新药业,上礼泉农贸市场,1.1
10路,下行,京新药业,协和医院（消防大队）,0.7
10路,下行,京新药业,三花股份,0.9
10路,下行,京新药业,马大王美女山,1.0
10路,下行,京新药业,城关加油站、兔毛市场,0.8
10路,下行,京新药业,上礼泉,4.8
10路,下行,嘉盛毛纺,中财公司,0.5
10路,下行,嘉盛毛纺,拔茅站,7.3
10路,下行,嘉盛毛纺,上礼泉农贸市场,1.0
10路,下行,嘉盛毛纺,协和医院（消防大队）,0.6
10路,下行,嘉盛毛纺,三花股份,0.8
10路,下行,嘉盛毛纺,马大王美女山,0.9
10路,下行,嘉盛毛纺,城关加油站、兔毛市场,0.7
10路,下行,嘉盛毛纺,上礼泉,4.2
10路,下行,泉清村,客运东站,0.5
10路,下行,泉清村,中财公司,0.7
10路,下行,泉清村,拔茅站,9.8
10路,下行,泉清村,上礼泉农贸市场,1.3
10路,下行,泉清村,协和医院（消防大队）,0.8
10路,下行,泉清村,三花股份,1.0
10路,下行,泉清村,城东大桥,0.6
10路,下行,泉清村,马大王美女山,1.2
10路,下行,泉清村,城关加油站、兔毛市场,0.9
10路,下行,泉清村,上礼泉,5.6
10路,下行,白段,拔茅站,1.5
10路,下行,白段,上礼泉,0.9
10路,下行,客运东站,中财公司,0.6
10路,下行,客运东站,拔茅站,8.5
10路,下行,客运东站,上礼泉农贸市场,1.1
10路,下行,客运东站,协和医院（消防大队）,0.7
10路,下行,客运东站,三花股份,0.9
10路,下行,客运东站,马大王美女山,1.1
10路,下行,客运东站,城关加油站、兔毛市场,0.8
10路,下行,客运东站,上礼泉,4.9
10路,下行,中财公司,拔茅站,11.9
10路,下行,中财公司,上礼泉农贸市场,1.6
10路,下行,中财公司,协和医院（消防大队）,1.0
10路,下行,中财公司,三花股份,1.2
10路,下行,中财公司,中医院（南）,0.5
10路,下行,中财公司,城东大桥,0.7
10路,下行,中财公司,毛纺织有限公司,0.6
10路,下行,中财公司,马大王美女山,1.5
10路,下行,中财公司,城关加油站、兔毛市场,1.1
10路,下行,中财公司,上礼泉,6.9
10路,下行,华佳热电,拔茅站,5.2
10路,下行,华佳热电,上礼泉农贸市场,0.7
10路,下行,华佳热电,三花股份,0.5
10路,下行,华佳热电,马大王美女山,0.7
10路,下行,华佳热电,上礼泉,3.0
10路,下行,拔茅站,上礼泉农贸市场,35.6
10路,下行,拔茅站,协和医院（消防大队）,22.2
10路,下行,拔茅站,西郊中学,0.7
10路,下行,拔茅站,三花股份,28.2
10路,下行,拔茅站,三花集团,2.0
10路,下行,拔茅站,三花公寓,3.4
10路,下行,拔茅站,新颖建材,0.7
10路,下行,拔茅站,七星大桥（南）,4.0
10路,下行,拔茅站,和悦广场,3.4
10路,下行,拔茅站,中医院（南）,11.4
10路,下行,拔茅站,电力调度中心,0.7
10路,下行,拔茅站,张家庄（北）,4.0
10路,下行,拔茅站,实验幼儿园,2.0
10路,下行,拔茅站,卫计局,1.3
10路,下行,拔茅站,翡翠山,10.1
10路,下行,拔茅站,客运中心,0.7
10路,下行,拔茅站,城东大桥,15.4
10路,下行,拔茅站,毛纺织有限公司,13.4
10路,下行,拔茅站,章家山,9.4
10路,下行,拔茅站,章家山脚,6.0
10路,下行,拔茅站,马大王美女山,33.6
10路,下行,拔茅站,新昌大桥,1.3
10路,下行,拔茅站,五马公园,10.1
10路,下行,拔茅站,城关加油站、兔毛市场,25.5
10路,下行,拔茅站,上礼泉,155.2
10路,下行,拔茅站,拔茅商场,0.7
10路,下行,上礼泉农贸市场,协和医院（消防大队）,3.2
10路,下行,上礼泉农贸市场,三花股份,4.1
10路,下行,上礼泉农贸市场,七星大桥（南）,0.6
10路,下行,上礼泉农贸市场,中医院（南）,1.7
10路,下行,上礼泉农贸市场,张家庄（北）,0.6
10路,下行,上礼泉农贸市场,翡翠山,1.5
10路,下行,上礼泉农贸市场,城东大桥,2.2
10路,下行,上礼泉农贸市场,毛纺织有限公司,1.9
10路,下行,上礼泉农贸市场,章家山,1.4
10路,下行,上礼泉农贸市场,章家山脚,0.9
10路,下行,上礼泉农贸市场,马大王美女山,4.9
10路,下行,上礼泉农贸市场,五马公园,1.5
10路,下行,上礼泉农贸市场,城关加油站、兔毛市场,3.7
10路,下行,上礼泉农贸市场,上礼泉,22.5
10路,下行,协和医院（消防大队）,三花股份,2.7
10路,下行,协和医院（消防大队）,中医院（南）,1.1
10路,下行,协和医院（消防大队）,翡翠山,1.0
10路,下行,协和医院（消防大队）,城东大桥,1.5
10路,下行,协和医院（消防大队）,毛纺织有限公司,1.3
10路,下行,协和医院（消防大队）,章家山,0.9
10路,下行,协和医院（消防大队）,章家山脚,0.6
10路,下行,协和医院（消防大队）,马大王美女山,3.2
10路,下行,协和医院（消防大队）,五马公园,1.0
10路,下行,协和医院（消防大队）,城关加油站、兔毛市场,2.5
10路,下行,协和医院（消防大队）,上礼泉,14.9
10路,下行,三花股份,七星大桥（南）,0.5
10路,下行,三花股份,中医院（南）,1.5
10路,下行,三花股份,张家庄（北）,0.5
10路,下行,三花股份,翡翠山,1.3
10路,下行,三花股份,城东大桥,2.1
10路,下行,三花股份,毛纺织有限公司,1.8
10路,下行,三花股份,章家山,1.3
10路,下行,三花股份,章家山脚,0.8
10路,下行,三花股份,马大王美女山,4.5
10路,下行,三花股份,五马公园,1.3
10路,下行,三花股份,城关加油站、兔毛市场,3.4
10路,下行,三花股份,上礼泉,20.7
10路,下行,三花集团,上礼泉,1.5
10路,下行,三花公寓,马大王美女山,0.5
10路,下行,三花公寓,上礼泉,2.5
